siteName,Latitude,Longitude,ecoHydro,ownAg,t1,t2,change,p.value
Malheur Lake,43.291542,-118.8199273,Great Basin-Colorado Plateau,Private,7542.98189864651,1512.4663854136,-79.9486939550394,0.0000555997832402075
Warbler Pond,43.30527778,-119.3030556,Great Basin-Colorado Plateau,Private,966.65446616373,762.459918253051,-21.1238405302204,0.510218928024626
Silver Lake,43.37388889,-119.3780556,Great Basin-Colorado Plateau,Private,699.420710067724,560.365189917911,-19.8815274052077,0.656717966752763
Red-S,43.4175,-118.9088889,Great Basin-Colorado Plateau,Private,9446.72068452327,4459.60163451403,-52.7920663323912,0.0077210027319862
Squarewell Slough,43.44138889,-118.84,Great Basin-Colorado Plateau,Private,8559.25391712938,3442.84933292855,-59.7762916457184,0.0053812026606614
Island Ranch,43.45972222,-118.9388889,Great Basin-Colorado Plateau,Private,9260.82318267796,5086.21681540946,-45.0781349014087,0.018679509690371
Nine-Mile Slough,43.47222222,-118.6969444,Great Basin-Colorado Plateau,Private,5006.74589424267,1259.87828217014,-74.8363845742822,0.000348770067985163
Silvies River,43.56805556,-119.0344444,Great Basin-Colorado Plateau,Private,3555.85623681657,4230.71567638947,18.9788167638936,0.363191282546376
Market Lake WMA,43.79011,-112.1615369,Great Basin-Colorado Plateau,Private,1007.84807851648,819.166977764948,-18.7211847473342,0.0000000771338362305188
Fort Boise WMA,43.817288,-117.00133,Great Basin-Colorado Plateau,Private,1305.34021822154,1221.87344618973,-6.39425422328039,0.000294491844472372
Mud Lake WMA,43.89228,-112.454048,Great Basin-Colorado Plateau,Private,62.5036531182185,28.8227530396538,-53.886290477872,0.00000967258306330706
Camas NWR,43.93804,-112.2643843,Great Basin-Colorado Plateau,Private,110.682383150607,75.2922360922487,-31.974507641566,0.0307354340185123
Red Rock Lakes NWR,44.63749,-111.840605,Middle Rockies,Private,177.610345044743,163.315063513358,-8.04867617805905,0.275974818065063
Dailey Lake,45.26296,-110.81626,Middle Rockies,Private,294.322670387977,277.258126302128,-5.79790339064064,0.0207018920270105
Willow Creek Reservoir,45.684042,-111.710739,Middle Rockies,Private,240.018702029206,250.778601986596,4.48294231508721,0.682660043646953
Grass Lake NWR,45.8974,-109.1,Northern Plains,Private,201.432329842153,130.475330747159,-35.2262217046279,0.00973134190566222
Cottonwood Reservoir,46.0384,-110.69073,Northern Plains,Private,321.271094943153,286.15571985239,-10.930138329742,0.00608087340459694
Spidel WPA,46.13717,-108.85596,Northern Plains,Private,191.709677934312,334.388162611223,74.4242472337774,0.872978811309476
Warm Springs WMA,46.18597,-112.80396,Middle Rockies,Private,4387.38875730624,3030.63844546923,-30.9238680884531,0.0000000325676197417746
Warm Springs WMA,46.1975,-112.7754,Middle Rockies,Private,4334.87740141694,3009.21392599693,-30.5813372019862,0.0000000325676197417746
Canyon Ferry WMA,46.35817,-111.52088,Middle Rockies,Private,193.132963107946,209.109053671094,8.27206827154555,0.0805438494246043
Lee Metcalf NWR,46.54234,-114.08167,Middle Rockies,Private,766.372570593269,784.680217566178,2.38887033218528,0.443784934717906
Lake Helena WMA,46.70239,-111.96322,Middle Rockies,Private,129.637463226199,121.363611499173,-6.38229993176423,0.0207018920270105
Browns Lake,46.951106,-113.016845,Middle Rockies,Private,760.784149179884,671.427073201117,-11.7453913932214,0.0630014673169666
Kleinschmidt Lake,46.9746,-113.04274,Middle Rockies,Private,826.626575592604,731.20372966096,-11.5436460366927,0.0743134546496024
Upper Carter Pond FAS,47.153244,-109.425143,Northern Plains,Private,328.739292407833,316.440096617398,-3.74132209762633,0.76259226460238
Ninepipe NWR,47.436792,-114.127469,Northern Rockies,Private,271.730940587724,215.661513148482,-20.6341711834398,0.0279096325000368
Kicking Horse Reservoir,47.455083,-114.069563,Northern Rockies,Private,244.841695652061,186.259653361666,-23.926497541352,0.00685851274427954
Pablo NWR,47.644665,-114.170265,Northern Rockies,Private,190.313066428817,155.488908201918,-18.2983538021673,0.00141612409654959
Freezeout Lake,47.66257,-112.04601,Northern Plains,Private,383.568977992965,271.83891019535,-29.1290678360501,0.00000273053780256037
Benton Lake NWR,47.670001,-111.329999,Northern Plains,Private,551.929498309919,478.575632199421,-13.2904413217843,0.00216183688437375
Wild Horse Reservoir,48.12381,-108.17002,Northern Plains,Private,315.619980404247,359.90924329527,14.0324648757336,0.76259226460238
Manning Lake,48.27249,-104.74924,Northern Plains,Private,143.30469135761,161.141901384334,12.4470524012449,0.682660043646953
Manning Lake,48.272495,-104.749238,Northern Plains,Private,143.30469135761,161.141901384334,12.4470524012449,0.682660043646953
Bowdoin NWR,48.373459,-107.679346,Northern Plains,Private,367.084970377689,279.603991849603,-23.8312613120821,0.000036881972314935
Homestead Lake,48.378478,-104.577667,Northern Plains,Private,68.3158104386917,97.6040840406132,42.8718819462817,0.217126918696677
Medicine Lake NWR,48.37848,-104.57767,Northern Plains,Private,186.715458399185,272.471726514705,45.9288528388361,0.260359756840209
Medicine Lake NWR,48.38785,-104.577667,Northern Plains,Private,185.698063387192,274.403981840195,47.7688979814749,0.217126918696677
Nelson Reservoir,48.48538,-107.57585,Northern Plains,Private,653.309851036796,493.990502518551,-24.3864910754685,0.000036881972314935
Medicine Lake NWR,48.501592,-104.316174,Northern Plains,Private,346.032986822986,502.000907814605,45.0731366461906,0.136369979336102
Ash Meadows NWR,36.398904,-116.334241,Mojave-Sonoran Deserts,Public,165.372739582704,171.93386055793,3.96747432000078,0.735625500689658
La Sauses,37.236399,-105.751664,Southern Rockies and Basins,Public,388.490647777618,166.877917029024,-57.0445471509654,0.00000000171408524956708
Pikes Stockade,37.361241,-105.820492,Southern Rockies and Basins,Public,979.505382325831,508.558225996732,-48.080098877133,0.0000000119985967469696
Adams Lake,37.405982,-105.850267,Southern Rockies and Basins,Public,987.142415391395,513.558351540913,-47.9752522499713,0.0000000119985967469696
Alamosa NWR,37.433478,-105.784454,Southern Rockies and Basins,Public,1473.93507268824,900.206643539188,-38.9249458663504,0.00000000685634099826834
Monte Vista NWR,37.482605,-106.060943,Southern Rockies and Basins,Public,1054.17562013669,649.261515683729,-38.4104979017117,0.0000000514225574870125
Blanca Wetlands,37.55643553,-105.6772562,Southern Rockies and Basins,Public,1605.71203519747,1124.01397244366,-29.9990317189451,0.00000000685634099826834
San Luis Lake SWA,37.685832,-105.716788,Southern Rockies and Basins,Public,1304.86293431843,909.882577135837,-30.2698733173,0.00000000171408524956708
Cotton Lake,37.71716937,-105.7094763,Southern Rockies and Basins,Public,1142.2826575262,708.01144424293,-38.0178417681449,0.00000000171408524956708
Russell Lakes SWA,37.940509,-106.13327,Southern Rockies and Basins,Public,587.282280734621,349.220701512736,-40.5361419936078,0.00000000342817049913417
John Martin Reservoir,38.077624,-103.033243,Southern Plains,Public,2418.02002187937,1202.44284020939,-50.271592901253,0.0000193023139953749
Neeskah Reservoir,38.28444,-102.644716,Southern Plains,Public,2163.32743839976,1101.23585433748,-49.0952763418893,0.000000639353798088522
Mud Lake CO,38.329408,-102.731341,Southern Plains,Public,2177.08418083824,1118.18950820924,-48.6382052632111,0.000000639353798088522
Kirch WMA,38.367758,-115.115858,Great Basin-Colorado Plateau,Public,604.892192333721,622.06421199958,2.83885622652993,0.465378817853854
Railroad Valley,38.5391,-115.7356,Great Basin-Colorado Plateau,Public,1734.30697703604,2269.04511120098,30.8329575585762,0.606048247505957
Fruitgrowers Reservoir,38.828625,-107.951898,Great Basin-Colorado Plateau,Public,39.6474778764235,38.2406929081293,-3.54823318819653,0.0871790202890358
Cheney Reservoir,38.88643835,-108.3228171,Great Basin-Colorado Plateau,Public,171.939638958603,161.709496085713,-5.94984550092788,0.00368549583314018
Eleven Mile State Park,38.92835709,-105.5202629,Southern Rockies and Basins,Public,5.13717859883263,5.65673917328988,10.1137339195355,0.0684712521892404
Alkali Lake WMA,38.929515,-119.370921,Great Basin-Colorado Plateau,Public,664.438509422047,437.215604019002,-34.1977326992519,0.00000156838800335388
Mason Valley WMA,39.090337,-119.097122,Great Basin-Colorado Plateau,Public,912.984225460278,782.173970886595,-14.3277672193882,0.109671260646537
Washoe Lake,39.281239,-119.793005,Great Basin-Colorado Plateau,Public,344.270545029504,241.212361219269,-29.9352312587193,0.0942345911299465
Carson Lake,39.310493,-118.73423,Great Basin-Colorado Plateau,Public,4238.11380490707,3377.17642617912,-20.3141637615091,0.217126918696677
Spring Valley,39.45577,-114.495398,Great Basin-Colorado Plateau,Public,909.013099262751,610.996400595138,-32.7846429176123,0.00475274016024863
Harmon Reservoir,39.46611,-118.643904,Great Basin-Colorado Plateau,Public,4575.53431935704,3602.36707892903,-21.2689310691206,0.0486639858201955
Canvasback Club,39.581536,-118.522129,Great Basin-Colorado Plateau,Public,6805.19894946447,3789.10807326035,-44.3203923735612,0.0942345911299465
Stillwater NWR,39.625869,-118.519698,Great Basin-Colorado Plateau,Public,9062.55578694955,4187.76300467762,-53.7904857842843,0.136369979336102
Cherry Creek State Park,39.638378,-104.854793,Southern Plains,Public,41.7505316644772,30.8312191672986,-26.1537088555669,0.0077210027319862
Swan Lake,39.653888,-119.840469,Great Basin-Colorado Plateau,Public,13.986083047604,11.188473510329,-20.0028094195698,0.0371033258558935
Fish Springs NWR,39.852173,-113.373091,Great Basin-Colorado Plateau,Public,2731.53468287741,2427.53553697543,-11.1292434911258,0.118083439115962
Humboldt WMA,40.005322,-118.620108,Great Basin-Colorado Plateau,Public,4640.55955989839,1011.84761779716,-78.1955687727599,0.00418947289230314
Utah Lake,40.031378,-111.888607,Great Basin-Colorado Plateau,Public,1583.96543831091,1041.34976274256,-34.2567875816143,0.0077210027319862
Hinman Reservoir,40.148591,-106.462619,Southern Rockies and Basins,Public,54.8967389127787,54.8784738916733,-0.0332715958492372,0.901044523270083
Ouray NWR,40.15894,-109.588484,Great Basin-Colorado Plateau,Public,3347.97279445234,3177.92875083495,-5.07901509531848,0.606048247505957
Ruby Lake NWR,40.197491,-115.479245,Great Basin-Colorado Plateau,Public,5743.44313609618,3925.93447590685,-31.6449317442828,0.00000760539625232915
Honey Lake,40.30222222,-120.3883333,Great Basin-Colorado Plateau,Public,1026.47356739814,510.27124841949,-50.2889051772757,0.0000122437109376577
Lower Latham Reservoir,40.34333,-104.636539,Southern Plains,Public,24.7103049309639,17.2001708957708,-30.3927209970703,0.00000000171408524956708
Franklin Lake,40.348441,-115.415327,Great Basin-Colorado Plateau,Public,4200.09933465887,1567.3909258862,-62.682051042169,0.000779499122178377
Hebron Slough,40.54555,-106.360452,Southern Rockies and Basins,Public,230.072287314315,185.449263276311,-19.3952190239416,0.363191282546376
Rye Patch Reservoir,40.570604,-118.304659,Great Basin-Colorado Plateau,Public,3227.70169322463,2106.56771857981,-34.7347456860163,0.0445226890079167
Walden Reservoir,40.7339,-106.3046,Southern Rockies and Basins,Public,208.368489197348,177.746584378884,-14.6960343842884,0.682660043646953
Harrison Duck Club,40.83333333,-112.0416667,Great Basin-Colorado Plateau,Public,14740.146339558,11443.2081834131,-22.3670652936258,0.00000000171408524956708
Farmington Bay WMA,40.882656,-112.013221,Great Basin-Colorado Plateau,Public,18906.342200095,13568.8474912963,-28.2312392968956,0.00000000171408524956708
Secret Soldier,40.902366,-115.364126,Great Basin-Colorado Plateau,Public,74.8534679477617,73.5458827211183,-1.74685991510234,0.789842685626712
Humboldt River,40.932163,-117.234238,Great Basin-Colorado Plateau,Public,316.005336641268,292.162259799882,-7.54515005816259,0.465378817853854
Humboldt River,40.964797,-117.276257,Great Basin-Colorado Plateau,Public,316.005336641268,292.162259799882,-7.54515005816259,0.465378817853854
Humboldt River,41.01603,-117.705233,Great Basin-Colorado Plateau,Public,17.3090141386531,19.447609466426,12.3553849493782,0.275974818065063
